SiteID,site.name,long,lat,state,name_en,feature_id,lake_area_ha,nameMatch,DatasetID
10170,Brother-of-Fog Lake,-63.138,67.193,NU,NA,80f54f68d9e446bab0f1ca84e742ce00,22.61008886404559,NA,15320
10206,Fog Lake,-63.24945,67.18237500000001,NU,NA,08affdae26e0435d9cbb0a849e36bdef,7.46878472027999,NA,15392
10343,Donard Lake,-61.787800000000004,66.662,NU,NA,NA,NA,NA,15719
10355,Lake Jake,-65.1513,63.66675,NU,NA,e3594c6d28414d538fa83ae03bbac909,103.35261819852114,NA,15746
10394,Robinson Lake,-64.261165,63.397585,NU,NA,210aea6c0c9a403c9ade5ed2d5630503,15.890814596113056,NA,15829
10499,Patricia Bay Lake,-68.50277777777775,70.46194444444444,NU,NA,e73609863ab94e539c62a1695e81814d,62.58410148195348,NA,16109
11928,TK-2 Lake,-104.945735,66.34783999999999,NU,NA,NA,NA,NA,19323
13572,Lake JR01,-95.07,69.9,NU,NA,NA,NA,NA,20647
13645,Lake MB01,-112.077,69.807,NU,NA,d165aaf33fb747a6a2b39e9ce576973b,5.409028093763686,NA,20653
13657,Lake SL06,-91.888,68.59049999999999,NU,NA,NA,NA,NA,20676
7,Three Pines Bog,-80.116667,47,ON,NA,e495bcabb4f34f678d70ba8fcf0ff350,10748.78268274701,NA,7
219,Axe Lake,-79.51,45.38,ON,NA,NA,NA,NA,221
232,Barry Lake,-77.916667,44.3,ON,NA,NA,NA,NA,235
233,Baseball Bog,-79.78,47.23,ON,NA,122d969b1c31460ba13ff6513f2c11d9,10.121710709942498,NA,236
235,Lac Bastien,-78.916667,46.4,ON,NA,NA,NA,NA,238
242,Bear Bog,-80.16,47.18,ON,NA,NA,NA,NA,245
294,Bondi Section,-82.6375,42.088056,ON,NA,NA,NA,NA,300
305,Brophy Ditch,-81.73,43.22,ON,NA,NA,NA,NA,312
503,Cranberry Lake,-78.1,44.1,ON,NA,NA,NA,NA,516
506,Crates Lake,-81.266667,49.183333,ON,NA,aafe38be457440929783928e8922729a,11.404747450843768,NA,519
507,Crawford Lake,-79.83,43.5,ON,NA,NA,NA,NA,520
507,Crawford Lake,-79.83,43.5,ON,NA,NA,NA,NA,16124
507,Crawford Lake,-79.83,43.5,ON,NA,NA,NA,NA,520
507,Crawford Lake,-79.83,43.5,ON,NA,NA,NA,NA,16124
509,Creditview Wetland,-79.6,43.6,ON,NA,NA,NA,NA,522
511,Cristal Lake,-90.083333,52.116667,ON,NA,ba4fd32823104fe986942b07f13eaa57,154.74346107925498,NA,524
524,Cummins Pond,-89.346667,48.4075,ON,NA,NA,NA,NA,538
656,Decoy Lake,-80.366667,43.233333,ON,NA,NA,NA,NA,672
766,Edward Lake,-80.25,44.37,ON,NA,95b9b66b5fad49b78285855fe91eccad,24.144506202380487,NA,785
785,Lake Erie,-82.76,41.92,ON,NA,9f92a280497945d6afb47035f401c684,247250.90760656988,NA,805
800,Fawn Lake (CA:Ontario),-79.39,45.41,ON,NA,7d4d3932055f45389c01089f17ddd82a,250.1383664523376,NA,823
823,Hayes Lake,-93.75,49.583333,ON,NA,NA,NA,NA,849
825,Frenchmens Bay,-79.1,43.82,ON,NA,NA,NA,NA,851
829,Furnival Lake,-84.93,48.21,ON,NA,NA,NA,NA,856
835,"Georgian Bay, Lake Huron (1)",-80.86,44.74,ON,NA,4bac641da3e5466e88090740d0d8628a,345164.9938935952,NA,862
836,"Georgian Bay, Lake Huron (2)",-81.32,45.17,ON,NA,9e1c7f9ac1304980adb500722ed4ac10,1190833.0427387673,NA,863
943,Graham Lake,-77.35,45.183333,ON,NA,NA,NA,NA,973
956,Grenadier Pond,-79.47,43.64,ON,NA,e9cf8348985b4a2f91ee14ab2c4b8481,1.9047611615736488,NA,986
971,Hams Lake,-80.413333,43.236667,ON,NA,32d1c71ae26a4f8ea0f16c4d9e6cda68,3.8876685973617584,NA,1002
1072,High Lake,-76.6,44.516667,ON,NA,NA,NA,NA,1105
1102,Humber Pond 3,-79.48,43.64,ON,NA,NA,NA,NA,1135
1103,Humber Pond 5,-79.49,43.64,ON,NA,NA,NA,NA,1136
1104,Humber Pond 7,-79.5,43.65,ON,NA,NA,NA,NA,1137
1113,Indian Lake,-90.45,50.916667,ON,NA,NA,NA,NA,1147
1115,Inglesby Lake,-77.05,44.483333,ON,NA,NA,NA,NA,1149
1123,Jack Lake,-81.766667,47.316667,ON,NA,NA,NA,NA,1157
1136,James Bay,-80.2,50.22,ON,NA,NA,NA,NA,1171
1245,Wilcox Lake,-79.43,43.95,ON,NA,95b6b16368e84e7fb966ae26e42080ad,55.160058320610666,NA,17672
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,1453
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,3453
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,3454
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,1453
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,3453
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,3454
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,1453
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,3453
1416,Marais de Keswick,-79.512778,44.195833,ON,NA,NA,NA,NA,3454
1561,Lake QC,-80.698333,46.828333,ON,NA,8874c32f340b4fb1a71012fe780a5b4f,2.3960492175765675,NA,1606
1562,Lake Six,-81.316667,48.4,ON,NA,NA,NA,NA,1607
1594,Little Round Lake,-76.683056,44.8,ON,NA,NA,NA,NA,1644
1646,Maplehurst Lake,-80.659722,43.225,ON,NA,606796f382934ebf83dbbad2e9335bc7,8.190871286101968,NA,1701
1663,McCarston's Lake,-80.09,45.05,ON,NA,9e1c7f9ac1304980adb500722ed4ac10,1190833.0427387673,NA,1719
1667,McLaughlan Lake,-76.554167,45.363333,ON,NA,NA,NA,NA,1723
1713,Mordsger Lake,-94.25,51.383333,ON,NA,NA,NA,NA,1770
1749,Nina Lake,-81.5,46.6,ON,NA,NA,NA,NA,1807
1762,Nutt Lake,-79.45,45.216667,ON,NA,NA,NA,NA,1820
1770,Oliver Pond,-89.323889,48.422222,ON,NA,0d8dc7eaff90435e931f38f7cc212adf,3.732355596073924,NA,1829
1788,Palace Pier Section,-79.48,43.62,ON,NA,NA,NA,NA,1847
1795,Parkhill Creek,-81.75,43.18,ON,NA,NA,NA,NA,1857
1796,Parrott's Pond,-76.7,44.22,ON,NA,NA,NA,NA,1858
1800,Pass Lake,-88.74,48.56,ON,NA,5d49d1edab6548d782653460cb3e770c,26.097351262838583,NA,1862
1806,Paynter Marsh,-78.34,44.1,ON,NA,NA,NA,NA,1868
1816,Peatsah Section,-79.82,43.33,ON,NA,NA,NA,NA,1879
1819,Peggy Lake,-92,49.48,ON,NA,NA,NA,NA,1883
